,mean_abs_shap,correlation,mutual_info
MSZoning_FV,37.5071329484452,0.08246070840453987,0.029138581048929968
Exterior2nd_MetalSd,35.19548446330051,-0.15247623209547834,0.0331493537987011
BldgType_Duplex,34.09643288402736,-0.1167129690925878,0.017463991636386345
LotShape,33.61243431464347,-0.2663500442114533,0.08167995069856304
Exterior1st_Wd Sdng,32.576168848224896,-0.15303305692688476,0.019237583516757084
BsmtCond,27.880413283605144,0.19388424004490407,0.04438522509251697
RoofStyle_Hip,25.684037443655644,0.2276140724566392,0.011774905293809868
RoofStyle_Gable,25.623967147283754,-0.2166335154237798,0.0014936594829741967
GarageType_Modified_Detchd,24.086728160634422,-0.3497973573346089,0.10597297496197688
MSZoning_RM,23.606027946072075,-0.2876494534436846,0.0680271215963999
Story_Count,21.267815447337433,0.07380765008828308,0.03726176055259245
LotConfig_Inside,19.740560249791386,-0.05730348987934259,0.0
BsmtHalfBath,18.625964706693214,0.003266843020069422,0.0016977335099572777
3SsnPorch,18.044955180503734,0.020283115750738615,0.005955639657301726
LowQualFinSF,17.827008049188013,-0.026656691215339926,0.004991787605300946
Exterior2nd_Plywood,17.185709803340167,-0.05987649777878284,0.008664929056261483
MasVnrType_BrkCmn,13.43013278698883,-0.05174855426368027,0.002309856022376655
HouseStyle_1Story,11.275084139328087,-0.06701366964574448,0.0
Exterior2nd_Wd Sdng,10.890170596693066,-0.16548640936316775,0.022816308027898913
MasVnrType_None,10.73193301815997,-0.360863671318114,0.06913796073063927
GarageType_Modified_Other,10.723239392278902,-0.05799830535017811,0.0
Exterior2nd_BrkFace,9.92454029078352,0.032760912901218533,0.000908161152365139
MiscVal,9.54471135099765,-0.02240871608801879,0.002358178534590971
BldgType_TwnhsE,9.457686571103222,0.008905362513317179,0.0
PavedDrive,8.093774220322711,0.200842783671631,0.029528171835506933
Exterior1st_CemntBd,8.015501001036322,0.13895341722355714,0.011317559291092127
GarageType_Modified_BuiltIn,7.8489075058289846,0.23704585763745623,0.028791313989694034
Exterior1st_Other,5.743263340500528,-0.02105994413970806,0.0
Foundation_CBlock,5.737396089088642,-0.34948916189713314,0.10522614406036257
Age_Category,4.242838902834746,0.33846068275825103,0.07242972813409598
GarageType_Modified_2Types,4.048995166339286,-0.010883123513013529,0.0
MSZoning_RH,3.8077615976007015,-0.0614709366470955,0.0
Electrical,3.5874015421491694,0.21866881010224495,0.05577599319851645
HouseStyle_2Story,3.4396286345324323,0.24427201999964418,0.03949130798998968
Exterior1st_WdShing,2.920133861580921,-0.0646251421610821,0.0037935924833565338
Exterior2nd_Wd Shng,2.7087337562237987,-0.0755750696299098,0.0
RoofStyle_Other,2.2133635537203866,-0.006339929930523212,0.0
BldgType_Twnhs,1.3814817360676328,-0.09271819238464354,0.006823124740282349
LotConfig_FR3,1.3354685200730416,0.03364907006267762,0.0
PUD_Flag,1.277617763619718,-0.02596146807076721,0.0039014983768648204
Exterior2nd_Stucco,0.6529694298685413,-0.01812786795416796,0.006065614983706169
Foundation_Slab,0.19829543388869672,-0.098722114941716,0.020555172524010734
Exterior2nd_CmentBd,0.0,0.1505825558434451,0.015768771664032455
Exterior2nd_AsbShng,0.0,-0.10180645797413908,0.007115730781264373
Exterior1st_Stucco,0.0,-0.009227028954886014,0.0
Exterior1st_AsbShng,0.0,-0.11461012390120452,0.00761506748764873
HouseStyle_SFoyer,0.0,-0.09059464536535485,0.016026523897856526
Exterior2nd_Other,0.0,0.01396838535325886,0.010947490266662863
Foundation_Other,0.0,-0.001271281611699861,0.0
HouseStyle_2.5Fin,0.0,0.039120026288083004,0.015261665042751282
HouseStyle_1.5Unf,0.0,-0.09217642325138989,0.0016467643552713351
BldgType_2fmCon,0.0,-0.1071963327631371,0.005287198584658759
HouseStyle_2.5Unf,0.0,-0.036666651038852874,0.0
