,Correlation,Mutual Information
Foundation_Other,-0.008323261186318357,0.0
Exterior2nd_Wd Shng,-0.040329435645520266,0.0
GarageType_Modified_2Types,-0.02397376065437404,0.0
Id,-0.0219167194434311,0.0
Exterior2nd_Stucco,-0.04241569231469872,0.0
Exterior2nd_AsbShng,-0.09922021939101378,0.0
Exterior1st_WdShing,-0.05131740614311994,0.0
Exterior1st_Plywood,-0.01771925649284018,0.0
Exterior1st_BrkFace,0.032371390691590035,0.0
RoofStyle_Other,-0.00507445057763733,0.0
HouseStyle_SFoyer,-0.09308987468225179,0.0
BldgType_2fmCon,-0.09734830194128391,0.0
LandContour_Low,0.04552825032749514,0.0
LotConfig_FR3,0.018185562475503327,0.0
LotConfig_Corner,0.004144823294072504,0.0
MoSold,0.0464322452238194,0.0
PoolQC,0.11548430473054799,0.0
PoolArea,0.09240354949187322,0.0
3SsnPorch,0.04458366533574845,0.0
LotConfig_FR2,-0.006858890782776001,0.0
